Dia Entrega,Entregue,Feito,Tipo,Chocolate,Casca,Recheio,Docinho,Criança?,Total,Pago,Pagamento
27/03,True,True,Colher,Preto,Crocante,Ninho c/ Nutella,Ninho,Não,R$55,True,Dinheiro
27/03,True,True,Colher,Preto,Lisa,Maracujá,Brigadeiro e Ninho,Não,R$50,True,
27/03,True,True,Colher,Preto,Lisa,Ninho c/ Nutella,Ninho,Não,R$55,True,
27/03,True,True,Colher,Preto,Crocante,Prestígio,Brigadeiro e coco,Não,R$50,True,
27/03,True,True,Colher,Preto,Crocante,Maracujá,Brigadeiro,Não,R$50,True,
27/03,True,True,Colher,Preto,Oreo,Maracujá,Brigadeiro,Não,R$50,True,
27/03,True,True,Colher,Preto,Lisa,Ninho c/ Nutella,Ninho,Não,R$00,False,
27/03,True,True,Colher,Preto,Crocante,Brigadeiro,Brigadeiro e morangos,Não,R$50,True,Pix
28/03,True,True,Colher,Preto,Lisa,Prestígio,Brigadeiro e coco,Não,R$50,True,Pix
28/03,True,True,Colher,Preto,Lisa,Ninho c/ Nutella,Ninho,Não,R$55,True,Pix
28/03,True,True,Colher,Branco,Oreo,Ninho c/ Nutella,Ninho,Não,R$55,True,Dinheiro
28/03,True,True,Colher,Preto,Crocante,Ninho c/ Nutella,Ninho,Não,R$55,True,Pix
28/03,True,True,Trufado,Preto,Confeti,Ninho c/ Nutella,Não,"Sim, menina ROSA",R$50,True,Pix
28/03,True,True,Colher,Preto,Lisa,Prestígio,Brigadeiro e côco,Não,R$50,True,Pix
28/03,True,True,Colher,Preto,Lisa,Maracujá,Brigadeiro,Não,R$50,True,Pix
28/03,True,True,Colher,Preto,Lisa,Maracujá,Brigadeiro,Não,R$50,True,Pix
28/03,True,True,Colher,Preto,Lisa,Brigadeiro,Brigadeiro e morangos,Não,R$50,True,Pix
28/03,True,True,Colher,Branco,Oreo,Brigadeiro,Brigadeiro e morangos,Não,R$60,True,Pix
28/03,True,True,Colher,Preto,Confeti,Ninho c/ Nutella,Ninho e confeti,"Sim, menina ROSA",R$55,True,Pix
29/03,False,True,Colher,Preto,Lisa,Ninho c/ Nutella,Ninho,Não,R$65,False,
29/03,False,True,Colher,Preto,Lisa,Ninho c/ Nutella,Ninho,Não,R$55,False,
29/03,False,True,Colher,Branco,Lisa,Ninho c/ Nutella,Ninho,Não,R$55,False,
29/03,False,True,Trufado,Branco,Oreo,Ninho c/ Nutella,Ninho,Não,R$65,False,
29/03,False,True,Trufado,Preto,Confeti/Lisa,Ninho c/ Nutella,Não,Não,R$50,True,Pix
29/03,False,True,Trufado,Preto,Confeti/Lisa,Ninho c/ Nutella,Não,Não,R$50,True,Pix
29/03,False,True,Trufado,Preto,Lisa,Maracujá,Não,Não,R$50,False,
29/03,False,False,Colher,Branco,Confeti,Ninho,Brigadeiro/ninho/confeti,Sim,R$55,False,
29/03,False,False,Trufado,Preto,Oreo,Prestígio,Não,Não,R$60,False,
29/03,False,False,Trufado,Preto,Confeti,Brigadeiro,Não,Não,R$60,False,
29/03,False,True,Trufado,Preto,Lisa,Maracujá,Não,Não,R$50,False,
29/03,False,False,Colher,Preto,Oreo,Brigadeiro,Brigadeiro e morangos,Não,R$50,True,Pix
29/03,False,False,Colher,Branco,Oreo,Brigadeiro,Brigadeiro e morangos,Não,R$50,True,
29/03,False,True,Trufado,Preto,Crocante,Ninho c/ Nutella,Não,Não,R$50,True,
29/03,False,True,Colher,Preto,Oreo,Ninho c/ Nutella,Ninho,"Sim, menino",R$55,False,
29/03,False,False,Colher,,,Prestígio,Brigadeiro e coco,Sim,R$50,False,
29/03,False,True,Trufado,Preto,Confeti,Ninho c/ Nutella,Não,"Sim, menino",R$50,True,Pix
29/03,False,False,Colher,Branco,Oreo,Brigadeiro,Brigadeiro e morangos,Não,R$50,True,Pix
29/03,False,False,Colher,Preto,Lisa,Brigadeiro,Brigadeiro e morangos,Não,R$60,True,Pix
29/03,False,True,Colher,Preto,Oreo,Ninho c/ Nutella,Ninho,Não,R$55,False,
29/03,False,False,Colher,Preto,Oreo,Ninho c/ Nutella,Ninho,Não,R$25,False,
29/03,False,False,Colher,Branco,Oreo,Brigadeiro,Brigadeiro e morangos,Não,R$50,True,
29/03,False,False,Colher,Preto,Oreo,Brigadeiro,Brigadeiro e morangos,Não,R$50,True,
29/03,False,True,Colher,Preto,Crocante,Ninho c/ Nutella,Ninho,Não,R$55,False,
29/03,False,False,Colher,Branco,Confeti,Brigadeiro,Brigadeiro e morangos,"Sim, menina ROSA",R$50,False,
29/03,False,True,Colher,Preto,Crocante,Ninho c/ Nutella,Ninho,Não,R$55,False,
29/03,False,False,Colher,Preto,Crocante,Brigadeiro,Brigadeiro e morangos,Não,R$50,False,
29/03,False,False,Colher,Preto,Oreo,Brigadeiro,Brigadeiro e morangos,Não,R$60,,
29/03,False,True,Colher,Preto,Crocante,Ninho c/ Nutella,Ninho,Não,R$65,False,
29/03,False,True,Colher,Preto,Crocante,Ninho c/ Nutella,Ninho,Não,R$55,False,
30/03,False,False,Colher,Preto,Crocante,Ninho c/ Nutella,Ninho,Não,R$65,,
30/03,False,False,Colher,Branco,Oreo,Brigadeiro,Brigadeiro e morangos,Não,R$60,,
30/03,False,False,Colher,Preto,Oreo,Ninho c/ Nutella,Ninho,Não,R$65,False,
30/03,False,False,Colher,Preto,Lisa,Brigadeiro,Brigadeiro e morangos,Não,R$50,False,
30/03,False,False,Colher,Preto,Crocante,Brigadeiro c/ Nutella,Brigadeiro e morangos,Não,R$55,False,
30/03,False,False,Colher,Branco,Oreo,Ninho c/ Nutella,Ninho,Não,R$55,False,
30/03,False,False,Colher,Preto,Oreo,Brigadeiro,Brigadeiro e morangos,Não,R$50,False,
30/03,False,False,Colher,Preto,Oreo,Prestígio,Brigadeiro e coco,Não,R$50,False,
30/03,False,False,Colher,Preto,Crocante,Ninho c/ Nutella,Ninho,Não,R$55,False,
30/03,False,False,Colher,Preto,Lisa,Ninho c/ Nutella,Ninho,Não,R$55,False,Pix
30/03,False,False,Trufado,Preto,Lisa,Brigadeiro,Não,Não,RS50,False,
30/03,False,False,Trufado,Preto,Lisa,Brigadeiro,Não,Não,R$50,False,
