Dia Entrega,Feito,Pago,Entregue,Total,Recebido,Faltante,Tipo,Chocolate,Casca,Recheio,Docinho,Criança?
16/04,True,False,True,"R$ 70,00","R$ 70,00","R$ 0,00",Colher,Branco,Oreo,Ninho com Nutella,Ninho e Brigadeiros,Não
16/04,True,False,True,"R$ 70,00","R$ 0,00","R$ 70,00",Colher,Blend,Lisa,Ninho com Nutella,Ninho e Brigadeiros,Não
16/04,True,False,False,"R$ 65,00","R$ 65,00","R$ 0,00",Trufado,Branco,Oreo,Ninho com Nutella,-,Não
16/04,True,False,True,"R$ 70,00","R$ 70,00","R$ 0,00",Colher,Blend,Crocante,Ferrero Rocher,Ferrero Rocher,Não
16/04,True,True,True,"R$ 70,00","R$ 70,00","R$ 0,00",Colher,Blend,Crocante,Ninho com Nutella,Ninho,Não
16/04,True,True,True,"R$ 60,00","R$ 60,00","R$ 0,00",Colher,Blend,Lisa,Maracujá,Brigadeiro,Não
16/04,True,True,True,"R$ 70,00","R$ 70,00","R$ 0,00",Colher,Blend,Lisa,Ferrero Rocher,Ferrero Rocher,Não
16/04,True,True,True,"R$ 60,00","R$ 60,00","R$ 0,00",Colher,Branco,Confeti,Kids,Kids,Sim
17/04,True,False,True,"R$ 60,00","R$ 30,00","R$ 30,00",Colher,Blend,Lisa,Brigadeiro 70%,Morangos,Não
17/04,True,True,True,"R$ 75,00","R$ 75,00","R$ 0,00",Colher,Blend,Confeti,Ninho com Nutella,Ninho,Não
17/04,True,True,True,"R$ 70,00","R$ 70,00","R$ 0,00",Colher,Blend,Crocante,Ferrero Rocher,Ferrero Rocher,Não
17/04,True,False,True,"R$ 70,00","R$ 70,00","R$ 0,00",Colher,Branco,Oreo,Ninho com Nutella,Ninho,"Sim, menino"
17/04,True,False,True,"R$ 70,00","R$ 70,00","R$ 0,00",Colher,Blend,Oreo,Ferrero Rocher,Ferrero Rocher,"Sim, menina"
17/04,True,False,True,"R$ 70,00","R$ 70,00","R$ 0,00",Colher,Blend,Oreo,Ninho com Nutella,Ninho,"Sim, menino"
17/04,True,False,True,"R$ 60,00","R$ 60,00","R$ 0,00",Colher,Blend,Lisa,Brigadeiro,Brigadeiro e morangos,Não
